tradeDate,openPrice,highPrice,lowPrice,closePrice,volume,ticker
2020-01-01,71.78,73.03,71.78,72.34,7653185,000063
2020-01-02,73.36,73.36,71.87,72.48,3506834,000063
2020-01-03,72.9,73.82,72.9,73.5,4484703,000063
2020-01-06,72.83,75.16,72.83,74.09,4244417,000063
2020-01-07,74.57,74.85,73.17,74.0,8263138,000063
2020-01-08,75.65,77.07,75.6,76.5,3689792,000063
2020-01-09,77.08,77.25,75.48,76.59,13704217,000063
2020-01-10,77.81,77.81,73.68,74.09,12261956,000063
2020-01-13,74.7,75.51,74.68,75.06,1670394,000063
2020-01-14,75.72,77.94,75.38,76.69,4638026,000063
2020-01-15,76.54,77.22,74.78,76.08,4571215,000063
2020-01-16,75.84,75.96,73.97,75.02,6059462,000063
2020-01-17,76.87,79.89,76.87,78.63,23542831,000063
2020-01-20,78.25,78.35,78.16,78.26,10133096,000063
2020-01-21,77.11,79.13,77.11,78.6,2966161,000063
2020-01-22,78.7,80.69,78.48,79.2,4360653,000063
2020-01-23,80.46,80.46,76.08,77.9,14082161,000063
2020-01-24,77.88,78.59,77.88,78.58,3377541,000063
2020-01-27,77.48,80.9,77.48,79.84,4756897,000063
2020-01-28,79.87,81.0,79.87,80.87,8082082,000063
2020-01-29,81.23,81.28,80.29,80.92,3325506,000063
2020-01-30,82.3,82.3,80.87,81.25,1188474,000063
2020-01-31,80.99,82.37,80.99,82.22,4944681,000063
2020-02-03,82.96,82.96,77.62,77.76,9245692,000063
2020-02-04,76.95,76.95,75.62,75.83,9914874,000063
2020-02-05,76.7,76.7,75.43,75.95,9573162,000063
2020-02-06,76.76,76.78,75.69,76.02,7527786,000063
2020-02-07,75.11,77.86,75.11,77.77,14877871,000063
2020-02-10,79.0,79.0,77.03,77.38,7989704,000063
2020-02-11,77.4,77.73,74.1,76.56,4842309,000063
2020-02-12,76.92,78.93,76.92,78.74,4884457,000063
2020-02-13,77.91,77.91,77.08,77.38,11316219,000063
2020-02-14,77.73,78.56,77.73,78.34,8921521,000063
2020-02-17,79.19,79.65,78.74,79.33,9042417,000063
2020-02-18,78.84,78.84,75.43,77.41,6177844,000063
2020-02-19,77.24,83.29,77.24,80.17,23961631,000063
2020-02-20,80.63,80.63,78.03,78.1,3406196,000063
2020-02-21,77.56,79.19,77.56,78.76,14433528,000063
2020-02-24,80.44,80.44,74.88,75.59,16458783,000063
2020-02-25,74.91,74.91,71.38,71.74,12323299,000063
2020-02-26,72.44,72.44,70.52,70.63,21297388,000063
2020-02-27,71.36,74.78,71.36,73.76,15611731,000063
2020-02-28,73.94,73.94,71.17,71.29,7412295,000063
2020-03-02,71.47,71.47,68.62,68.87,17785841,000063
2020-03-03,69.78,69.78,65.52,67.26,12050138,000063
2020-03-04,66.33,66.67,66.12,66.38,3645461,000063
2020-03-05,66.35,66.35,65.01,65.58,6864698,000063
2020-03-06,64.92,64.92,63.93,64.18,5661754,000063
2020-03-09,65.18,65.18,64.42,64.65,2939072,000063
2020-03-10,64.12,65.55,64.12,65.18,7478577,000063
2020-03-11,65.2,66.29,65.2,66.02,3108712,000063
2020-03-12,65.57,68.53,65.57,67.84,8860988,000063
2020-03-13,67.92,67.92,66.42,66.69,11081206,000063
2020-03-16,67.73,67.73,65.56,65.87,9620259,000063
2020-03-17,66.02,67.94,65.64,66.84,10368282,000063
2020-03-18,66.39,69.17,66.39,69.13,9555155,000063
2020-03-19,67.6,68.3,66.89,67.56,2823505,000063
2020-03-20,67.37,67.81,67.04,67.46,8086991,000063
2020-03-23,68.33,68.72,66.01,67.18,8054715,000063
2020-03-24,69.04,70.06,66.88,68.53,6537117,000063
2020-03-25,69.09,69.09,64.31,65.01,3024042,000063
2020-03-26,63.85,66.14,63.85,65.97,14316534,000063
2020-03-27,65.33,67.64,65.33,67.33,11915801,000063
2020-03-30,67.28,68.9,67.28,68.54,4380078,000063
2020-03-31,68.95,69.24,68.33,68.89,6165834,000063
2020-04-01,69.33,69.33,67.62,67.66,23499518,000063
2020-04-02,68.55,68.55,65.15,66.67,10385125,000063
2020-04-03,66.53,68.18,66.53,67.83,10933929,000063
2020-04-06,66.92,68.56,66.92,67.88,2303573,000063
2020-04-07,68.31,68.31,64.26,64.92,2295591,000063
2020-04-08,64.96,65.87,64.21,65.08,6110534,000063
2020-04-09,65.39,68.53,65.39,67.88,21744249,000063
2020-04-10,67.51,67.51,65.43,66.33,8292144,000063
2020-04-13,66.59,66.59,65.44,65.99,4956427,000063
2020-04-14,66.79,66.79,64.53,64.73,20977700,000063
2020-04-15,65.06,65.06,63.65,64.18,2266174,000063
2020-04-16,65.36,65.36,64.27,64.44,7311106,000063
2020-04-17,64.46,64.46,63.87,64.02,7921186,000063
2020-04-20,64.77,64.77,62.08,62.9,12981242,000063
2020-04-21,63.61,64.18,61.72,63.32,12037356,000063
2020-04-22,61.95,66.25,61.95,65.47,19526316,000063
2020-04-23,64.15,67.89,64.15,67.72,20032308,000063
2020-04-24,67.74,67.74,66.02,66.18,8012422,000063
2020-04-27,64.86,66.55,64.86,66.14,5853478,000063
2020-04-28,66.68,66.69,66.4,66.6,5310478,000063
2020-04-29,66.62,66.62,65.41,65.47,5271684,000063
2020-04-30,65.82,68.23,65.82,68.03,19302543,000063
2020-05-01,67.71,67.71,66.38,67.03,5139946,000063
2020-05-04,65.79,69.05,65.79,68.14,11535482,000063
2020-05-05,69.06,69.77,68.78,69.42,3388615,000063
2020-05-06,70.56,70.56,68.43,68.86,6301766,000063
2020-05-07,70.32,70.66,70.02,70.44,3077276,000063
2020-05-08,71.48,71.48,69.23,70.08,3619054,000063
2020-05-11,69.8,70.77,69.8,70.65,6874529,000063
2020-05-12,70.68,70.83,69.95,70.39,4884353,000063
2020-05-13,70.25,70.25,68.66,69.56,2874706,000063
2020-05-14,70.01,70.01,68.62,69.16,6530410,000063
2020-05-15,68.99,71.99,68.99,70.78,24181607,000063
2020-05-18,70.5,71.93,70.5,71.88,10303512,000063
2020-05-19,72.47,75.04,72.47,74.4,10867301,000063
2020-05-20,73.99,75.05,73.99,74.81,4045056,000063
2020-05-21,75.16,76.31,74.78,75.39,4103390,000063
2020-05-22,74.78,75.75,74.78,75.52,7901611,000063
2020-05-25,76.15,76.15,74.37,74.46,14974075,000063
2020-05-26,74.41,77.1,74.29,75.27,3765938,000063
2020-05-27,74.65,77.97,74.65,77.84,11520379,000063
2020-05-28,77.34,79.15,77.34,78.8,6595057,000063
2020-05-29,79.13,79.13,76.29,77.07,4697023,000063
2020-06-01,76.85,80.65,76.85,80.24,18007461,000063
2020-06-02,79.61,79.8,79.26,79.49,4006953,000063
2020-06-03,79.75,82.4,79.75,82.15,6791463,000063
2020-06-04,83.19,88.39,83.19,88.0,6726679,000063
2020-06-05,88.62,90.56,88.17,89.84,11379333,000063
2020-06-08,89.42,89.42,87.39,87.58,11842371,000063
2020-06-09,88.84,90.88,86.84,88.73,9614910,000063
2020-06-10,89.28,91.65,88.95,90.23,7515449,000063
2020-06-11,91.05,91.05,87.64,87.67,7725969,000063
2020-06-12,87.78,92.84,87.78,90.47,8965127,000063
2020-06-15,89.97,90.82,89.66,90.3,9011351,000063
2020-06-16,88.97,90.58,88.97,89.82,2962070,000063
2020-06-17,90.01,90.01,88.05,88.29,3752641,000063
2020-06-18,88.96,89.53,88.96,89.47,5299655,000063
2020-06-19,90.36,90.36,89.72,90.01,8463029,000063
2020-06-22,89.35,91.87,87.91,89.94,7605798,000063
2020-06-23,89.79,89.79,84.95,85.92,7629106,000063
2020-06-24,87.27,87.27,83.04,83.6,19562313,000063
2020-06-25,83.27,89.55,83.27,87.08,12547921,000063
2020-06-26,86.93,86.93,83.51,83.78,9818899,000063
2020-06-29,84.35,84.76,82.06,83.65,3239634,000063
2020-06-30,84.52,84.52,82.29,82.92,1877860,000063
2020-07-01,82.11,84.62,82.11,84.53,8187231,000063
2020-07-02,85.35,85.35,80.87,82.15,14191426,000063
2020-07-03,81.77,90.08,81.77,89.41,21978274,000063
2020-07-06,88.97,91.0,88.97,90.58,7650372,000063
2020-07-07,89.3,92.35,89.3,91.11,2011991,000063
2020-07-08,91.07,91.07,88.87,89.01,6158647,000063
2020-07-09,89.21,89.27,88.99,89.18,9407006,000063
2020-07-10,89.29,92.05,89.29,91.94,18461683,000063
2020-07-13,91.83,97.52,91.83,97.07,9160253,000063
2020-07-14,95.98,95.98,93.23,93.47,12701882,000063
2020-07-15,93.43,93.43,91.69,91.87,8000369,000063
2020-07-16,91.75,91.75,88.84,89.06,17471972,000063
2020-07-17,87.68,88.99,87.47,88.41,1783922,000063
2020-07-20,87.73,90.96,87.73,90.35,18407210,000063
2020-07-21,89.87,90.2,86.27,88.83,8786833,000063
2020-07-22,89.46,89.66,89.25,89.45,11643341,000063
2020-07-23,90.77,90.77,89.18,89.86,1443499,000063
2020-07-24,89.99,95.31,89.99,94.72,19546678,000063
2020-07-27,95.45,95.77,94.87,95.3,4451003,000063
2020-07-28,96.29,96.29,90.83,91.46,11614956,000063
2020-07-29,90.03,93.52,90.03,92.36,12684300,000063
2020-07-30,91.51,95.72,91.51,94.53,11387462,000063
2020-07-31,96.56,98.47,96.56,98.0,2305048,000063
2020-08-03,99.1,101.16,97.67,99.28,12112907,000063
2020-08-04,100.51,100.51,95.89,96.2,4104691,000063
2020-08-05,95.99,95.99,86.82,87.8,17939790,000063
2020-08-06,88.39,88.39,85.77,86.08,10405380,000063
