tradeDate,openPrice,highPrice,lowPrice,closePrice,volume,ticker
2020-01-01,98.8,101.22,96.67,98.88,13772684,000725
2020-01-02,100.67,104.07,100.67,101.93,2998412,000725
2020-01-03,101.23,105.04,101.23,104.73,24280406,000725
2020-01-06,105.2,105.54,105.2,105.45,7361050,000725
2020-01-07,105.81,105.81,102.29,102.36,12629643,000725
2020-01-08,102.81,102.81,100.51,101.07,6665031,000725
2020-01-09,101.08,103.65,101.08,103.22,29874941,000725
2020-01-10,103.38,105.87,103.38,104.91,8535086,000725
2020-01-13,104.34,104.34,99.35,101.16,5943174,000725
2020-01-14,103.44,103.44,98.87,100.28,6978141,000725
2020-01-15,101.12,101.12,98.22,98.91,14189883,000725
2020-01-16,98.37,99.06,98.37,98.81,5718791,000725
2020-01-17,99.87,103.51,99.87,103.11,2031379,000725
2020-01-20,103.51,103.51,97.36,98.3,10371859,000725
2020-01-21,98.89,99.67,97.85,98.73,3988032,000725
2020-01-22,97.63,103.77,97.63,102.74,10729172,000725
2020-01-23,104.08,104.08,98.68,98.9,3730157,000725
2020-01-24,99.16,99.16,97.44,97.73,4688013,000725
2020-01-27,97.48,97.48,96.37,96.81,4314599,000725
2020-01-28,97.03,97.11,96.4,96.73,5840779,000725
2020-01-29,98.27,100.47,98.27,99.46,2699992,000725
2020-01-30,98.95,108.59,98.95,107.99,25093765,000725
2020-01-31,108.24,110.61,106.58,108.72,9227546,000725
2020-02-03,109.76,109.76,99.91,102.32,16091036,000725
2020-02-04,101.32,102.68,101.32,102.28,1792604,000725
2020-02-05,102.38,108.79,102.38,107.75,4486350,000725
2020-02-06,107.31,111.27,107.31,108.79,7175716,000725
2020-02-07,107.59,107.59,107.07,107.36,7813450,000725
2020-02-10,105.92,107.33,104.8,106.18,6814465,000725
2020-02-11,107.83,107.83,106.23,106.28,6305419,000725
2020-02-12,108.46,110.05,108.15,108.76,3694834,000725
2020-02-13,109.23,112.38,107.47,109.59,4195384,000725
2020-02-14,108.47,108.47,105.91,107.27,8344958,000725
2020-02-17,109.52,109.52,103.63,105.99,19365117,000725
2020-02-18,104.59,105.96,104.59,105.4,2122185,000725
2020-02-19,106.0,108.7,106.0,108.56,21354122,000725
2020-02-20,106.82,109.08,106.82,108.69,5589303,000725
2020-02-21,108.55,116.01,108.55,113.64,11023119,000725
2020-02-24,113.9,113.9,112.01,112.32,4136823,000725
2020-02-25,111.1,115.43,111.1,113.26,1898509,000725
2020-02-26,113.52,113.52,111.1,111.99,11333171,000725
2020-02-27,113.54,113.54,110.62,111.57,6793078,000725
2020-02-28,110.27,111.05,105.62,108.45,3754609,000725
2020-03-02,109.91,109.91,107.84,108.12,4014494,000725
2020-03-03,104.9,107.84,104.9,107.46,15052314,000725
2020-03-04,108.23,111.09,107.48,108.83,9487963,000725
2020-03-05,108.58,108.58,107.5,107.85,4858756,000725
2020-03-06,107.3,110.24,107.3,108.63,6347070,000725
2020-03-09,107.59,108.74,106.03,107.16,5061324,000725
2020-03-10,108.68,108.68,107.01,107.62,7790014,000725
2020-03-11,107.77,109.31,107.77,109.04,7795435,000725
2020-03-12,109.05,109.05,105.98,106.73,17753651,000725
2020-03-13,108.85,109.63,100.85,104.95,2683318,000725
2020-03-16,104.73,104.73,101.61,101.81,23177810,000725
2020-03-17,100.94,104.3,100.94,103.72,21306419,000725
2020-03-18,103.04,105.28,103.04,104.97,10524861,000725
2020-03-19,105.12,106.52,105.12,106.4,7787144,000725
2020-03-20,109.41,111.02,109.26,109.87,3249197,000725
2020-03-23,110.29,110.29,105.46,106.01,5318814,000725
2020-03-24,105.22,107.55,104.22,105.97,1323508,000725
2020-03-25,105.28,106.68,104.63,105.38,10029725,000725
2020-03-26,104.68,106.37,104.16,105.08,5770134,000725
2020-03-27,105.45,105.45,101.62,102.05,14810085,000725
2020-03-30,100.5,102.2,100.45,101.12,7313695,000725
2020-03-31,99.28,101.57,99.0,100.68,3101077,000725
