tradeDate,openPrice,highPrice,lowPrice,closePrice,volume,ticker
2020-01-01,27.95,28.34,27.95,28.18,5216554,002415
2020-01-02,28.22,28.22,27.33,27.58,21020978,002415
2020-01-03,27.55,27.98,27.53,27.66,6758439,002415
2020-01-06,27.03,28.49,27.03,28.29,5426785,002415
2020-01-07,28.42,28.42,27.63,28.02,9299100,002415
2020-01-08,28.04,29.26,28.04,28.96,8834639,002415
2020-01-09,29.0,30.42,29.0,30.05,13163068,002415
2020-01-10,30.29,30.29,27.54,28.27,5894776,002415
2020-01-13,28.38,29.57,28.38,29.05,23596672,002415
2020-01-14,28.93,28.93,27.88,27.91,9918121,002415
2020-01-15,28.33,28.33,26.91,27.34,1975544,002415
2020-01-16,27.8,27.8,26.49,26.68,15533514,002415
2020-01-17,27.01,27.69,26.84,27.27,10848292,002415
2020-01-20,27.51,27.75,27.51,27.59,4141866,002415
2020-01-21,27.8,28.21,26.85,27.52,1632797,002415
2020-01-22,27.67,27.67,26.38,26.41,5627025,002415
2020-01-23,26.68,28.51,26.68,28.44,22345223,002415
2020-01-24,28.64,28.64,27.68,27.93,12089467,002415
2020-01-27,27.75,27.96,27.12,27.49,10485852,002415
2020-01-28,27.52,27.69,27.49,27.57,4142605,002415
2020-01-29,27.21,28.68,27.21,28.58,7039000,002415
2020-01-30,28.41,29.2,28.41,28.87,5586611,002415
2020-01-31,28.27,28.27,27.69,27.81,1024659,002415
2020-02-03,27.74,27.74,26.81,26.82,16135249,002415
2020-02-04,27.16,27.16,26.06,26.26,14965939,002415
2020-02-05,26.3,27.51,26.3,27.43,11942081,002415
2020-02-06,27.06,29.36,27.06,29.15,11512235,002415
2020-02-07,29.49,29.49,27.76,27.8,4694985,002415
2020-02-10,27.86,27.86,26.94,27.15,15145702,002415
2020-02-11,26.89,28.61,26.89,28.43,6142309,002415
2020-02-12,28.76,28.76,28.07,28.32,13474488,002415
2020-02-13,27.82,27.82,26.92,27.15,15648427,002415
2020-02-14,26.92,26.92,26.37,26.64,6752846,002415
2020-02-17,26.52,26.52,25.34,25.41,14593095,002415
2020-02-18,25.63,26.28,25.11,25.65,6505118,002415
2020-02-19,25.61,25.61,24.88,25.05,13763130,002415
2020-02-20,25.4,25.4,25.14,25.21,3037222,002415
2020-02-21,25.07,27.47,25.07,26.48,6650760,002415
2020-02-24,26.32,28.72,26.32,28.46,20205107,002415
2020-02-25,28.9,30.33,28.9,30.02,21383440,002415
2020-02-26,30.43,31.16,30.43,31.15,21717629,002415
2020-02-27,31.16,31.16,29.83,30.08,9948593,002415
2020-02-28,30.27,30.27,28.5,28.64,23105329,002415
2020-03-02,28.78,29.54,28.78,29.47,7318690,002415
2020-03-03,29.63,29.63,28.81,29.11,6498524,002415
2020-03-04,29.23,29.23,28.51,28.81,5004462,002415
2020-03-05,28.92,28.92,27.61,27.68,8583122,002415
2020-03-06,27.49,27.57,27.41,27.48,3222750,002415
2020-03-09,27.29,28.14,27.29,28.09,20014492,002415
2020-03-10,27.77,27.77,25.95,26.34,6574838,002415
2020-03-11,26.64,26.64,26.1,26.19,5553503,002415
2020-03-12,25.69,27.43,25.69,27.21,20499635,002415
2020-03-13,27.13,27.47,26.67,26.88,1793807,002415
2020-03-16,26.9,27.44,26.9,27.32,10725132,002415
2020-03-17,27.04,27.57,27.04,27.46,1315453,002415
2020-03-18,27.93,27.93,27.55,27.66,6633755,002415
2020-03-19,27.69,28.08,27.41,27.67,11320821,002415
2020-03-20,27.97,29.02,27.97,28.85,18271614,002415
2020-03-23,28.85,30.37,28.85,30.0,5488840,002415
2020-03-24,29.96,29.96,29.48,29.55,13569231,002415
2020-03-25,29.4,30.66,29.4,30.61,5029948,002415
2020-03-26,30.67,30.67,29.3,29.46,5051137,002415
2020-03-27,29.04,30.48,29.04,30.34,12158783,002415
2020-03-30,30.3,30.3,28.88,28.98,9477259,002415
2020-03-31,28.99,28.99,27.76,27.88,17250682,002415
2020-04-01,27.54,28.23,27.54,28.03,4177121,002415
2020-04-02,28.12,28.26,27.7,27.99,3635683,002415
2020-04-03,27.75,28.88,27.75,28.63,8646074,002415
2020-04-06,28.64,28.64,28.23,28.33,5925270,002415
2020-04-07,28.3,28.3,26.26,26.52,20123160,002415
2020-04-08,26.54,26.54,25.93,26.17,4028171,002415
2020-04-09,26.03,26.67,26.03,26.38,1826527,002415
2020-04-10,26.25,28.04,26.25,27.96,3404172,002415
2020-04-13,27.72,27.72,26.92,27.18,1307757,002415
2020-04-14,26.79,28.09,26.79,27.82,11789345,002415
2020-04-15,27.77,30.63,27.77,30.06,17676810,002415
2020-04-16,30.17,30.45,30.17,30.45,5377367,002415
2020-04-17,30.47,31.92,30.47,31.7,9624258,002415
2020-04-20,31.59,31.59,30.75,30.84,12783240,002415
2020-04-21,31.21,31.21,29.7,29.73,19966665,002415
2020-04-22,29.3,29.3,28.27,28.33,12845216,002415
2020-04-23,28.04,28.07,27.77,27.92,5642657,002415
2020-04-24,27.97,27.97,26.36,26.71,11659780,002415
2020-04-27,26.65,27.14,26.47,26.87,11839850,002415
2020-04-28,26.65,26.88,26.65,26.82,3835631,002415
2020-04-29,26.79,26.91,26.08,26.58,10248285,002415
2020-04-30,26.49,26.49,26.2,26.29,4300921,002415
2020-05-01,26.13,26.94,26.13,26.66,15585025,002415
2020-05-04,26.89,28.04,26.89,27.95,5597382,002415
2020-05-05,28.15,28.15,27.63,27.76,11341461,002415
2020-05-06,28.19,29.2,28.19,28.57,5888730,002415
2020-05-07,29.01,29.61,28.87,29.33,4301215,002415
2020-05-08,29.48,31.14,29.48,31.04,11098771,002415
2020-05-11,31.27,31.31,30.61,30.98,3571744,002415
2020-05-12,31.04,31.04,30.15,30.32,11713891,002415
2020-05-13,30.35,31.04,30.35,31.02,16674487,002415
2020-05-14,30.82,31.31,30.23,30.77,3489777,002415
2020-05-15,30.52,30.52,29.84,30.0,2378693,002415
