tradeDate,openPrice,highPrice,lowPrice,closePrice,volume,ticker
2020-01-01,91.61,91.61,91.24,91.29,5286952,000001
2020-01-02,91.83,93.18,91.31,92.41,3773454,000001
2020-01-03,91.74,91.74,89.8,90.82,6241542,000001
2020-01-06,89.4,91.26,88.73,90.29,11336531,000001
2020-01-07,90.21,91.38,90.21,91.3,4141357,000001
2020-01-08,90.32,90.32,87.38,87.44,9917914,000001
2020-01-09,87.1,87.1,83.83,84.05,8544670,000001
2020-01-10,85.53,87.85,85.53,87.64,13393434,000001
2020-01-13,86.39,87.16,83.58,85.29,1947387,000001
2020-01-14,84.85,89.9,84.74,86.83,15610516,000001
2020-01-15,86.12,86.12,83.56,84.04,12684461,000001
2020-01-16,83.15,84.44,83.15,83.76,10477169,000001
2020-01-17,85.72,85.72,80.2,81.24,12927638,000001
2020-01-20,80.39,80.39,77.77,78.01,6085739,000001
2020-01-21,80.15,82.86,80.15,81.97,21854316,000001
2020-01-22,82.69,82.69,80.49,81.49,7345908,000001
2020-01-23,80.56,80.56,78.04,78.33,15173263,000001
2020-01-24,79.89,79.89,76.39,77.27,13088212,000001
2020-01-27,77.4,77.4,74.6,75.21,13042805,000001
2020-01-28,75.18,75.18,71.49,71.55,8142147,000001
2020-01-29,71.56,71.56,68.79,69.21,13783192,000001
2020-01-30,69.43,69.43,66.25,66.6,11928782,000001
2020-01-31,67.99,68.91,67.99,68.61,7291352,000001
2020-02-03,68.76,68.76,66.7,67.02,5230177,000001
2020-02-04,68.46,68.46,63.54,63.89,12748140,000001
2020-02-05,63.62,67.81,63.62,66.52,13280401,000001
2020-02-06,67.44,67.44,63.65,64.7,5849957,000001
2020-02-07,63.27,65.37,63.27,64.99,7384707,000001
2020-02-10,65.22,65.74,64.84,65.28,3849979,000001
2020-02-11,63.97,66.33,63.97,65.39,7524409,000001
2020-02-12,66.15,66.15,64.55,65.02,11875675,000001
2020-02-13,64.91,64.91,62.94,63.17,8329646,000001
2020-02-14,63.48,65.53,63.48,65.03,14360821,000001
2020-02-17,64.55,65.14,64.55,64.92,7923905,000001
2020-02-18,65.67,65.67,62.23,62.86,13803014,000001
2020-02-19,62.83,63.48,62.83,63.29,1737239,000001
2020-02-20,64.9,64.9,61.36,61.54,17335928,000001
2020-02-21,60.88,63.71,60.88,63.47,12296212,000001
2020-02-24,62.92,63.47,62.92,63.29,4002362,000001
2020-02-25,63.53,63.53,61.65,62.32,6975758,000001
2020-02-26,62.71,64.51,62.71,63.4,6451103,000001
2020-02-27,62.87,66.76,62.87,66.44,10421968,000001
2020-02-28,66.32,68.9,66.32,68.61,16352129,000001
2020-03-02,69.42,72.17,69.42,71.67,19033258,000001
2020-03-03,72.27,72.27,68.13,69.21,14030776,000001
2020-03-04,69.12,69.12,67.02,67.39,18878002,000001
2020-03-05,69.09,72.23,69.09,71.66,21962092,000001
2020-03-06,71.31,71.53,71.31,71.43,8658641,000001
2020-03-09,72.39,72.39,70.06,70.67,14602214,000001
2020-03-10,70.43,74.78,70.43,72.77,19577484,000001
2020-03-11,72.84,73.6,72.84,73.41,5894264,000001
2020-03-12,73.88,73.88,72.37,73.28,10956416,000001
2020-03-13,72.87,76.05,72.87,75.02,17765107,000001
2020-03-16,74.63,74.79,74.48,74.64,4793102,000001
2020-03-17,73.77,74.68,73.77,74.6,5344902,000001
2020-03-18,74.68,74.68,71.79,72.2,5426544,000001
2020-03-19,73.4,74.57,73.4,74.28,4064375,000001
