tradeDate,openPrice,highPrice,lowPrice,closePrice,volume,ticker
2020-01-01,96.99,98.06,96.91,97.36,4258499,600887
2020-01-02,97.89,97.89,90.62,91.71,4667004,600887
2020-01-03,91.14,91.14,87.24,88.7,15586565,600887
2020-01-06,87.33,87.33,80.68,81.54,14099089,600887
2020-01-07,82.38,82.38,81.89,82.03,1846048,600887
2020-01-08,82.4,86.93,82.4,86.54,7002101,600887
2020-01-09,85.68,85.68,81.79,82.33,11048908,600887
2020-01-10,81.38,84.2,81.38,84.18,14522839,600887
2020-01-13,84.36,86.8,84.36,86.73,11387090,600887
2020-01-14,85.97,86.58,85.48,86.08,2740990,600887
2020-01-15,84.86,90.77,84.86,88.77,14515921,600887
2020-01-16,88.94,93.34,88.94,92.77,13681991,600887
2020-01-17,92.81,93.9,92.81,93.63,4244714,600887
2020-01-20,94.08,94.08,92.76,93.04,3499624,600887
2020-01-21,93.09,93.09,88.78,89.29,15742666,600887
2020-01-22,88.77,88.77,87.64,87.93,10511862,600887
2020-01-23,87.17,87.17,83.46,84.46,6927395,600887
2020-01-24,85.29,88.29,84.13,85.91,2977816,600887
2020-01-27,87.42,87.42,87.05,87.2,9817076,600887
2020-01-28,88.55,88.55,87.37,87.96,1482647,600887
2020-01-29,88.69,89.98,87.69,88.66,5376412,600887
2020-01-30,89.2,92.08,89.2,91.28,21498647,600887
2020-01-31,89.3,99.24,89.3,97.99,19347443,600887
2020-02-03,96.98,96.98,92.28,92.65,10103639,600887
2020-02-04,93.22,94.14,93.22,93.93,5109458,600887
2020-02-05,95.35,95.35,91.71,91.99,11640098,600887
2020-02-06,92.07,92.07,88.96,89.95,8387160,600887
2020-02-07,89.55,92.76,89.55,91.68,14481841,600887
2020-02-10,91.09,96.0,91.09,94.56,4490274,600887
2020-02-11,93.64,93.64,90.74,91.24,9522920,600887
2020-02-12,91.06,91.06,88.25,89.4,4981955,600887
2020-02-13,89.56,89.56,84.47,85.38,22040432,600887
2020-02-14,86.84,86.84,84.68,85.52,2487944,600887
2020-02-17,85.37,85.37,82.78,83.26,16441475,600887
2020-02-18,84.46,87.12,84.46,87.01,8223321,600887
2020-02-19,87.18,92.12,87.18,90.25,10601157,600887
2020-02-20,89.83,89.83,89.46,89.53,5330627,600887
2020-02-21,90.44,93.72,90.44,92.88,23266824,600887
2020-02-24,91.73,96.8,91.73,94.78,23756609,600887
2020-02-25,95.14,101.38,95.14,99.43,7786134,600887
2020-02-26,100.08,105.79,100.08,105.18,22242945,600887
2020-02-27,106.37,106.37,102.56,103.32,11158675,600887
2020-02-28,104.12,104.12,101.25,101.56,12862470,600887
2020-03-02,100.31,103.64,100.31,103.63,7600934,600887
2020-03-03,105.9,111.95,105.9,111.83,7922822,600887
2020-03-04,109.91,112.62,108.37,110.79,6872701,600887
2020-03-05,110.87,110.87,107.0,107.27,15709803,600887
2020-03-06,108.69,111.18,108.69,110.89,14150251,600887
2020-03-09,110.09,111.0,109.76,110.23,7862816,600887
2020-03-10,110.57,111.46,110.57,111.13,8718463,600887
2020-03-11,110.21,110.21,104.25,106.81,6473059,600887
2020-03-12,105.26,105.26,101.14,101.68,13701960,600887
2020-03-13,102.28,102.28,99.81,101.04,4451855,600887
2020-03-16,101.58,101.58,95.39,96.06,13323080,600887
2020-03-17,97.42,97.42,91.8,93.24,15188722,600887
2020-03-18,93.22,95.44,93.22,94.86,2498903,600887
2020-03-19,95.38,95.38,91.53,91.57,8831864,600887
2020-03-20,92.09,95.47,92.09,95.1,8076778,600887
2020-03-23,94.17,100.04,94.17,98.72,15639481,600887
2020-03-24,99.14,104.96,99.14,101.97,10591441,600887
2020-03-25,101.34,108.71,101.34,107.55,18117793,600887
2020-03-26,109.52,110.73,108.09,109.36,3945455,600887
2020-03-27,109.15,109.15,102.04,105.87,11898070,600887
2020-03-30,105.14,111.37,105.14,111.18,21994274,600887
2020-03-31,110.64,110.64,107.73,108.25,10573757,600887
2020-04-01,108.09,110.56,108.09,109.56,4152871,600887
2020-04-02,109.7,117.71,109.7,115.72,21415592,600887
2020-04-03,116.82,116.82,114.67,114.8,1556237,600887
2020-04-06,115.04,115.04,109.74,110.67,4219175,600887
2020-04-07,108.73,109.24,107.63,108.44,2139864,600887
2020-04-08,108.85,113.56,108.85,112.27,13393428,600887
2020-04-09,113.46,113.46,109.25,110.3,12104836,600887
2020-04-10,110.1,110.1,104.29,105.19,2678531,600887
